site_id,startDateTime,SOILT,VSWC
GUAN,2024-02-16T00:00:00Z,25.7122,0.0605
GUAN,2024-02-17T00:00:00Z,25.9936,0.037875
GUAN,2024-02-18T00:00:00Z,25.7884,0.0359
GUAN,2024-02-19T00:00:00Z,26.0834,0.0043
GUAN,2024-02-20T00:00:00Z,26.3048,0.03106666666666666
GUAN,2024-02-21T00:00:00Z,26.1248,0.0297
GUAN,2024-02-22T00:00:00Z,25.7726,0.02985
GUAN,2024-02-23T00:00:00Z,25.1124,0.02166666666666666
GUAN,2024-02-24T00:00:00Z,25.3252,0.01083333333333333
GUAN,2024-02-25T00:00:00Z,26.1474,NA
GUAN,2024-02-26T00:00:00Z,23.329,0.19325
GUAN,2024-02-27T00:00:00Z,24.92925,0.164475
GUAN,2024-02-28T00:00:00Z,23.9555,0.143025
GUAN,2024-02-29T00:00:00Z,24.853,0.121975
HARV,2024-02-01T00:00:00Z,1.3145,0.0987
HARV,2024-02-02T00:00:00Z,1.49625,0.0974
HARV,2024-02-03T00:00:00Z,1.543,NA
HARV,2024-02-04T00:00:00Z,0.97175,0.0998
HARV,2024-02-05T00:00:00Z,0.63225,0.0971
HARV,2024-02-06T00:00:00Z,0.34575,NA
HARV,2024-02-07T00:00:00Z,0.45825,NA
HARV,2024-02-08T00:00:00Z,0.67625,NA
HARV,2024-02-09T00:00:00Z,0.87525,0.0939
HARV,2024-02-10T00:00:00Z,1.202,0.0985
HARV,2024-02-11T00:00:00Z,1.66775,0.108
HARV,2024-02-12T00:00:00Z,1.56675,0.1116
HARV,2024-02-13T00:00:00Z,1.21875,0.1059
HARV,2024-02-14T00:00:00Z,0.71925,0.1023
HARV,2024-02-15T00:00:00Z,-0.295,0.0994
HARV,2024-02-16T00:00:00Z,0.35125,0.0953
HARV,2024-02-17T00:00:00Z,0.00875000000000001,NA
HARV,2024-02-18T00:00:00Z,-0.4105,0.0925
HARV,2024-02-19T00:00:00Z,-0.0295,NA
HARV,2024-02-20T00:00:00Z,-0.568,NA
HARV,2024-02-21T00:00:00Z,-0.22875,NA
HARV,2024-02-22T00:00:00Z,0.18675,NA
HARV,2024-02-23T00:00:00Z,0.317,0.0835
HARV,2024-02-24T00:00:00Z,0.54875,0.3019
HARV,2024-02-25T00:00:00Z,0.08975,0.2931
HARV,2024-02-26T00:00:00Z,0.03249999999999999,0.29
HARV,2024-02-27T00:00:00Z,0.5619999999999999,0.15905
HARV,2024-02-28T00:00:00Z,1.6975,0.0957
HARV,2024-02-29T00:00:00Z,4.48025,0.1206
HEAL,2024-02-01T00:00:00Z,-19.61775,NA
HEAL,2024-02-02T00:00:00Z,-20.834,NA
HEAL,2024-02-03T00:00:00Z,-20.97625,NA
HEAL,2024-02-04T00:00:00Z,-20.4545,NA
HEAL,2024-02-05T00:00:00Z,-15.29225,NA
HEAL,2024-02-06T00:00:00Z,-13.52275,NA
HEAL,2024-02-07T00:00:00Z,-10.77525,NA
HEAL,2024-02-08T00:00:00Z,-8.42175,NA
HEAL,2024-02-09T00:00:00Z,-8.1235,NA
HEAL,2024-02-10T00:00:00Z,-5.439,NA
HEAL,2024-02-11T00:00:00Z,-5.028,NA
HEAL,2024-02-12T00:00:00Z,-5.937,NA
HEAL,2024-02-13T00:00:00Z,-4.9595,NA
HEAL,2024-02-14T00:00:00Z,-1.08,NA
HEAL,2024-02-15T00:00:00Z,-0.38,NA
HEAL,2024-02-16T00:00:00Z,1.577,NA
HEAL,2024-02-17T00:00:00Z,2.268,0
HEAL,2024-02-18T00:00:00Z,-3.47,NA
HEAL,2024-02-19T00:00:00Z,-3.83275,NA
HEAL,2024-02-20T00:00:00Z,0.4097499999999999,NA
HEAL,2024-02-21T00:00:00Z,3.5277499999999997,0
HEAL,2024-02-22T00:00:00Z,-2.1435,NA
HEAL,2024-02-23T00:00:00Z,-4.7775,NA
HEAL,2024-02-24T00:00:00Z,-3.72325,NA
HEAL,2024-02-25T00:00:00Z,-5.879,NA
HEAL,2024-02-26T00:00:00Z,-7.71625,NA
HEAL,2024-02-27T00:00:00Z,-9.49375,NA
HEAL,2024-02-28T00:00:00Z,-12.32675,NA
HEAL,2024-02-29T00:00:00Z,-12.695,NA
JERC,2024-02-01T00:00:00Z,11.4026,0.07563333333333333
JERC,2024-02-02T00:00:00Z,11.467,0.08016
JERC,2024-02-03T00:00:00Z,12.8004,0.07778
JERC,2024-02-04T00:00:00Z,14.073,0.07534
JERC,2024-02-05T00:00:00Z,12.0672,0.11738
JERC,2024-02-06T00:00:00Z,11.1132,0.0805
JERC,2024-02-07T00:00:00Z,11.867,0.09156
JERC,2024-02-08T00:00:00Z,11.0354,0.10485
JERC,2024-02-09T00:00:00Z,13.7352,0.09176666666666666
JERC,2024-02-10T00:00:00Z,17.0686,0.083975
JERC,2024-02-11T00:00:00Z,17.4318,0.079575
JERC,2024-02-12T00:00:00Z,18.0298,0.08995
JERC,2024-02-13T00:00:00Z,17.8028,0.1107
JERC,2024-02-14T00:00:00Z,13.2346,0.087225
JERC,2024-02-15T00:00:00Z,12.974,0.0928
JERC,2024-02-16T00:00:00Z,14.6808,0.08945
JERC,2024-02-17T00:00:00Z,13.7322,0.1159
JERC,2024-02-18T00:00:00Z,11.901,0.08694
JERC,2024-02-19T00:00:00Z,10.537,0.07239999999999999
JERC,2024-02-20T00:00:00Z,11.451,0.08122499999999999
JERC,2024-02-21T00:00:00Z,12.4536,0.0786
JERC,2024-02-22T00:00:00Z,13.5788,0.076025
JERC,2024-02-23T00:00:00Z,16.3968,0.07746666666666667
JERC,2024-02-24T00:00:00Z,17.0622,0.07114000000000001
JERC,2024-02-25T00:00:00Z,16.0362,0.07133333333333333
JERC,2024-02-26T00:00:00Z,14.8518,0.06793333333333333
JERC,2024-02-27T00:00:00Z,17.5186,0.0663
JERC,2024-02-28T00:00:00Z,19.0296,0.07744999999999999
JERC,2024-02-29T00:00:00Z,21.11925,0.0606
JORN,2024-02-01T00:00:00Z,18.6842,0.079925
JORN,2024-02-02T00:00:00Z,19.5564,0.07869999999999999
JORN,2024-02-03T00:00:00Z,12.9194,0.07425
JORN,2024-02-04T00:00:00Z,13.3886,0.072575
JORN,2024-02-05T00:00:00Z,17.014,0.0727
