site_id,datetime,PRES,TSOIL,SOILW,WEASD,SNOD,ICETK
CLBJ,2023-11-26T00:00:00Z,98645.734375,282.983943939209,0.19812500849366188,0,0,0
CPER,2023-11-26T00:00:00Z,83145.53515625,271.8801956176758,0.10875000525265932,8.75,0.08749999664723873,0
DCFS,2023-11-26T00:00:00Z,95203.134765625,269.8927001953125,0.1300000101327896,0,0,0
DEJU,2023-11-26T00:00:00Z,94860.53515625,267.02769470214844,0.38600000739097595,32,0.3162499964237213,0
DELA,2023-11-26T00:00:00Z,101050.5361328125,285.31644439697266,0.2116250079125166,0,0,0
DSNY,2023-11-26T00:00:00Z,101269.7353515625,294.57144927978516,0.14125000312924385,0,0,0
GRSM,2023-11-26T00:00:00Z,91398.134765625,278.78644943237305,0.26500001177191734,0,0,0
GUAN,2023-11-26T00:00:00Z,100354.5341796875,298.635196685791,0.2048750091344118,0,0,0
HARV,2023-11-26T00:00:00Z,99166.9345703125,275.2689437866211,0.2838750183582306,0,0,0
HEAL,2023-11-26T00:00:00Z,93176.935546875,268.5314407348633,0.4113750196993351,31,0.3049999922513962,0
JERC,2023-11-26T00:00:00Z,101052.1337890625,288.0627021789551,0.18575000762939453,0,0,0
JORN,2023-11-26T00:00:00Z,86291.9345703125,283.78020095825195,0.13475000485777855,0,0,0
KONA,2023-11-26T00:00:00Z,97188.9345703125,273.80269622802734,0.22287501581013203,15,0.12124999519437551,0
KONZ,2023-11-26T00:00:00Z,97188.9345703125,273.80269622802734,0.22287501581013203,15,0.12124999519437551,0
LAJA,2023-11-26T00:00:00Z,100354.5341796875,298.635196685791,0.2048750091344118,0,0,0
LENO,2023-11-26T00:00:00Z,100903.734375,285.8239440917969,0.22937501408159733,0,0,0
MLBS,2023-11-26T00:00:00Z,93685.533203125,276.60269927978516,0.24212501384317875,0,0,0
MOAB,2023-11-26T00:00:00Z,79853.333984375,274.1576919555664,0.16150000877678394,1,0.00874999980442226,0
NIWO,2023-11-26T00:00:00Z,73614.5341796875,269.8364448547363,0.34812501445412636,10.875,0.10749999899417162,0
NOGP,2023-11-26T00:00:00Z,94601.3330078125,270.48019790649414,0.18250001221895218,0,0,0
OAES,2023-11-26T00:00:00Z,96033.7353515625,277.54894256591797,0.16200000792741776,5.875,0.03499999921768904,0
ONAQ,2023-11-26T00:00:00Z,82527.3349609375,273.1826934814453,0.21037500724196434,3.625,0.0274999993853271,0
ORNL,2023-11-26T00:00:00Z,97042.53515625,280.6076965332031,0.25212500989437103,0,0,0
OSBS,2023-11-26T00:00:00Z,101363.7353515625,291.50769805908203,0.1372500080615282,0,0,0
PUUM,2023-11-26T00:00:00Z,80882.1337890625,290.66394424438477,0.09700000286102295,0,0,0
RMNP,2023-11-26T00:00:00Z,74085.7333984375,269.5589485168457,0.17762500792741776,7.5,0.0774999987334013,0
SCBI,2023-11-26T00:00:00Z,99555.333984375,276.5502014160156,0.25975001230835915,0,0,0
SERC,2023-11-26T00:00:00Z,102099.53515625,NA,NA,NA,NA,0
SJER,2023-11-26T00:00:00Z,94683.134765625,281.96644592285156,0.11337500624358654,0,0,0
SOAP,2023-11-26T00:00:00Z,94683.134765625,281.96644592285156,0.11337500624358654,0,0,0
SRER,2023-11-26T00:00:00Z,90149.533203125,285.05269622802734,0.11575000360608101,0,0,0
STEI,2023-11-26T00:00:00Z,95432.5341796875,271.48519134521484,0.3700000196695328,0.75,0.007499999832361937,0
STER,2023-11-26T00:00:00Z,87345.935546875,270.94394302368164,0.09787500370293856,5.875,0.05749999871477485,0
TALL,2023-11-26T00:00:00Z,100598.7353515625,285.0989456176758,0.2415000107139349,0,0,0
TEAK,2023-11-26T00:00:00Z,80194.3349609375,274.05395126342773,0.21375001035630703,1.75,0.009999999776482582,0
TOOL,2023-11-26T00:00:00Z,89084.9345703125,265.4876937866211,0.30400002002716064,31,0.3037499897181988,0
TREE,2023-11-26T00:00:00Z,95432.5341796875,271.48519134521484,0.3700000196695328,0.75,0.007499999832361937,0
UKFS,2023-11-26T00:00:00Z,98242.93359375,275.3451919555664,0.2005000151693821,10.625,0.07624999666586518,0
UNDE,2023-11-26T00:00:00Z,94976.93359375,271.18894958496094,0.26612501591444016,0.375,0.0037499999161809683,0
WOOD,2023-11-26T00:00:00Z,95203.134765625,269.8927001953125,0.1300000101327896,0,0,0
WREF,2023-11-26T00:00:00Z,93081.9345703125,275.7014465332031,0.2822500094771385,0,0,0
YELL,2023-11-26T00:00:00Z,76107.134765625,266.9902000427246,0.39887501671910286,7.75,0.0774999987334013,0
ABBY,2023-11-27T00:00:00Z,97284.2900390625,275.97085189819336,0.24300000816583633,0,0,0
BARR,2023-11-27T00:00:00Z,99742.4892578125,NA,NA,5.125,0.019999999552965164,0.3487499952316284
BART,2023-11-27T00:00:00Z,94313.091796875,273.3433494567871,0.36637502163648605,11,0.06749999802559614,0
BLAN,2023-11-27T00:00:00Z,98435.890625,277.1971015930176,0.26512501016259193,0,0,0
BONA,2023-11-27T00:00:00Z,95531.291015625,267.6696014404297,0.3970000147819519,33,0.3199999928474426,0
CLBJ,2023-11-27T00:00:00Z,99281.8896484375,279.47335052490234,0.18262501247227192,0,0,0
CPER,2023-11-27T00:00:00Z,83381.8896484375,271.59210205078125,0.117125004529953,7.875,0.07624999852851033,0
DCFS,2023-11-27T00:00:00Z,95788.4912109375,267.0233497619629,0.13600000739097595,0,0,0
DEJU,2023-11-27T00:00:00Z,93402.69140625,267.26335525512695,0.3850000202655792,32,0.3112500011920929,0
DELA,2023-11-27T00:00:00Z,101590.8896484375,283.6596031188965,0.23375001177191734,0,0,0
DSNY,2023-11-27T00:00:00Z,101190.4892578125,295.30835342407227,0.14587500505149364,0,0,0
GRSM,2023-11-27T00:00:00Z,91127.69140625,278.2471008300781,0.27012501657009125,0,0,0
GUAN,2023-11-27T00:00:00Z,100392.0908203125,298.130859375,0.2153750080615282,0,0,0
HARV,2023-11-27T00:00:00Z,97343.4921875,275.2008514404297,0.30012501776218414,0,0,0
HEAL,2023-11-27T00:00:00Z,91839.4912109375,268.4708557128906,0.41075001657009125,31,0.29999998211860657,0
JERC,2023-11-27T00:00:00Z,101151.4912109375,286.66960525512695,0.21750001050531864,0,0,0
JORN,2023-11-27T00:00:00Z,86512.689453125,283.2233467102051,0.13450000435113907,0,0,0
KONA,2023-11-27T00:00:00Z,97694.08984375,273.54335021972656,0.23525001108646393,7.625,0.06499999994412065,0
KONZ,2023-11-27T00:00:00Z,97694.08984375,273.54335021972656,0.23525001108646393,7.625,0.06499999994412065,0
LAJA,2023-11-27T00:00:00Z,100392.0908203125,298.130859375,0.2153750080615282,0,0,0
LENO,2023-11-27T00:00:00Z,101429.8916015625,284.48460388183594,0.25512501038610935,0,0,0
MLBS,2023-11-27T00:00:00Z,93014.291015625,277.16835021972656,0.24387501180171967,0,0,0
MOAB,2023-11-27T00:00:00Z,80073.69140625,271.4608573913574,0.16675000824034214,1,0.00874999980442226,0
